Magic Item	Source	Pg. #	Legal Status	OGL Source
Alternate World, Gate, Blackjack	AC4 The Book of Marvelous Magic	7		
Alternate World, Gate, Laser Pistol	AC4 The Book of Marvelous Magic	7		
Alternate World, Gate, Lute	AC4 The Book of Marvelous Magic	7		
Alternate World, Gate, Medal	AC4 The Book of Marvelous Magic	7		
Alternate World, Gate, Pocket Tool	AC4 The Book of Marvelous Magic	7		
Alternate World, Gate, Star	AC4 The Book of Marvelous Magic	7		
Alternate World, Gate, Violin Case	AC4 The Book of Marvelous Magic	7		
Amulet, Cartographer's	M2 Vengeance of Alphaks	31		
Amulet, Charm Resistance	PC2 Top Ballista - DM's Booklet	39		
Amulet, Emotions	AC8 3-D Dragon Tiles featuring The Revenge of Rusak	7		
Amulet, Immunity to Charm	PC2 Top Ballista - DM's Booklet	39		
Amulet, Protection	Rules Cyclopedia	239		Dark Dungeons Deluxe (Amulet of Scrying Protection)
Amulet, Timekeeping	AC4 The Book of Marvelous Magic	7		
Anchor, Aerial	AC4 The Book of Marvelous Magic	8		
Anchor, Fishing	AC4 The Book of Marvelous Magic	8		
Anchor, Man	AC4 The Book of Marvelous Magic	8		
Anchor, Seafaring	AC4 The Book of Marvelous Magic	8		
Anchor, Weight	AC4 The Book of Marvelous Magic	8		
Ankh	HWR2 Kingdom of Nithia: DM's Tome	34		
Anklet, Growth	AC4 The Book of Marvelous Magic	9		
Anklet, Hobbling	AC4 The Book of Marvelous Magic	9		
Anklet, Levitation	AC4 The Book of Marvelous Magic	9		
Anklet, Sinking	AC4 The Book of Marvelous Magic	9		
Anklet, Walking	AC4 The Book of Marvelous Magic	9		
Armband, Death	AC4 The Book of Marvelous Magic	9		
Armband, Healing	AC4 The Book of Marvelous Magic	9		
Armband, Music	AC4 The Book of Marvelous Magic	9		
Armband, Salutation	AC4 The Book of Marvelous Magic	9		
Armband, Strength	AC4 The Book of Marvelous Magic	9		
Armband, Variable Strength	AC4 The Book of Marvelous Magic	10		
Armchair, Helplessness	AC4 The Book of Marvelous Magic	10		
Armchair, Relaxing	AC4 The Book of Marvelous Magic	10		
Armchair, Retrieval	AC4 The Book of Marvelous Magic	10		
Armchair, Seeing	AC4 The Book of Marvelous Magic	10		
Armchair, Travel	AC4 The Book of Marvelous Magic	10		
Armchair, Ugliness	AC4 The Book of Marvelous Magic	10		
Armor or Shield, Absorption	Rules Cyclopedia	242		Dark Dungeons Deluxe
Armor or Shield, Cure Wounds	Rules Cyclopedia	242		Dark Dungeons Deluxe (Armor or Shield of Curing)
Armor or Shield, Electricity	Rules Cyclopedia	242		Dark Dungeons Deluxe (Armor or Shield of Shocking)
Armor or Shield, Ethereality	Rules Cyclopedia	242	SRD (Armor of Etherealness)	Dark Dungeons Deluxe
Armor or Shield, Fly	Rules Cyclopedia	242		Dark Dungeons Deluxe (Armor or Shield of Flying)
Armor or Shield, Gaseous Form	Rules Cyclopedia	242		Dark Dungeons Deluxe
Armor or Shield, Haste	Rules Cyclopedia	242		Dark Dungeons Deluxe
Armor or Shield, Reflection	Rules Cyclopedia	242	SRD (Armor of Reflecting)	Dark Dungeons Deluxe
Armor or Shield, Remove Curse	Rules Cyclopedia	242		Dark Dungeons Deluxe
Armor, Blackflame	GAZ8 The Five Shires: Dungeon Masters Booklet	19		
Arrow, Elven	GAZ5 The Elves of Alfheim	34		
Arrow, Red	HWR2 Kingdom of Nithia: DM's Tome	36		
Astrolabe, Henrik	In The Phantom's Wake	13		
Awl, Above	Polyhedron #23	22		
Awl, Full	AC4 The Book of Marvelous Magic	10		
Awl, Hole Punching	AC4 The Book of Marvelous Magic	10		
Awl, Inn	Polyhedron #23	22		
Awl, Mess	AC4 The Book of Marvelous Magic	10		
Awl, Out	Polyhedron #23	22		
Bag, Devouring	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Bag, Holding	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Bagpipe, Confusion	AC4 The Book of Marvelous Magic	11		
Bagpipe, Droning	AC4 The Book of Marvelous Magic	11		
Bagpipe, Fear	AC4 The Book of Marvelous Magic	11		
Bagpipe, Feline Attraction	AC4 The Book of Marvelous Magic	11		
Bagpipe, Headache	AC4 The Book of Marvelous Magic	11		
Bagpipe, Shattering	AC4 The Book of Marvelous Magic	11		
Balance, Conversion	AC4 The Book of Marvelous Magic	11		
Balance, Judgment	AC4 The Book of Marvelous Magic	11		
Ball, Base	AC4 The Book of Marvelous Magic	12		
Ball, Crystal	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Ball, Crystal, Clairaudience	Rules Cyclopedia	239	SRD (Crystal Ball)	Dark Dungeons Deluxe
Ball, Crystal, ESP	Rules Cyclopedia	239	SRD (Crystal Ball)	Dark Dungeons Deluxe
Ball, Cue	AC4 The Book of Marvelous Magic	12		
Ball, Elemental	AC4 The Book of Marvelous Magic	12		
Ball, Foot	Polyhedron #23	22		
Ball, Power	AC4 The Book of Marvelous Magic	12		
Balloon, Air	AC4 The Book of Marvelous Magic	13		
Balloon, Carnivorous	AC4 The Book of Marvelous Magic	13		
Balloon, Containment	AC4 The Book of Marvelous Magic	13		
Balloon, Hot Air	AC4 The Book of Marvelous Magic	13		
Balloon, Poison	AC4 The Book of Marvelous Magic	13		
Balloon, Rust	AC4 The Book of Marvelous Magic	13		
Balloon, Soap	AC4 The Book of Marvelous Magic	13		
Balloon, Traveling	AC4 The Book of Marvelous Magic	13		
Balloon, Word	AC4 The Book of Marvelous Magic	13		
Banner, Attraction	AC4 The Book of Marvelous Magic	14		
Banner, Bravery	AC4 The Book of Marvelous Magic	14		
Banner, Cursed	AC4 The Book of Marvelous Magic	14		
Banner, Flying	AC4 The Book of Marvelous Magic	14		
Banner, Friendship	AC4 The Book of Marvelous Magic	14		
Banner, Insults	AC4 The Book of Marvelous Magic	14		
Banner, Privacy	AC4 The Book of Marvelous Magic	14		
Barding, Deceptive Travel	AC4 The Book of Marvelous Magic	14		
Barding, Easy Travel	AC4 The Book of Marvelous Magic	14		
Barding, Magical	PC2 Top Ballista - DM's Booklet	39		
Barrel, Hiding	AC4 The Book of Marvelous Magic	14		
Barrel, Monkeys	AC4 The Book of Marvelous Magic	14		
Barrel, Poverty	AC4 The Book of Marvelous Magic	14		
Barrel, Rolling	AC4 The Book of Marvelous Magic	16		
Bead, Accuracy	AC4 The Book of Marvelous Magic	16		
Bead, Dew	AC4 The Book of Marvelous Magic	16		
Bead, Eye	AC4 The Book of Marvelous Magic	16		
Bead, Glass	AC4 The Book of Marvelous Magic	16		
Bead, Oblivion	GAZ2 The Emirates of Ylaruam	61		
Bead, Pearl	AC4 The Book of Marvelous Magic	16		
Bead, Prayer	AC4 The Book of Marvelous Magic	16		
Bed, Lizardskin	GAZ2 The Emirates of Ylaruam	58		
Bell, Alarm	AC4 The Book of Marvelous Magic	16		
Bell, Ball	AC4 The Book of Marvelous Magic	17		
Bell, Calling	AC4 The Book of Marvelous Magic	17		
Bell, Choir	AC4 The Book of Marvelous Magic	17		
Bell, Church	AC4 The Book of Marvelous Magic	17		
Bell, Cow	AC4 The Book of Marvelous Magic	17		
Bell, Freedom	AC4 The Book of Marvelous Magic	17		
Bell, Ringing	AC4 The Book of Marvelous Magic	17		
Bellow, Breath	AC4 The Book of Marvelous Magic	17		
Bellow, Breezes	AC4 The Book of Marvelous Magic	17		
Bellow, Roaring	AC4 The Book of Marvelous Magic	17		
Bench, Encumbrance	AC4 The Book of Marvelous Magic	17		
Bench, Levitation	AC4 The Book of Marvelous Magic	17		
Bench, Ramming	AC4 The Book of Marvelous Magic	17		
Berries, Magical	B5 Horror on the Hill			
Bib, Good Eating	Polyhedron #51	14		
Blackflame	GAZ8 The Five Shires: Dungeon Masters Booklet	19		
Blacksling	GAZ8 The Five Shires: Dungeon Masters Booklet	20		
Blackstick	X11 Saga of the Shadow Lord	60		
Blanket, Devouring	AC4 The Book of Marvelous Magic	18		
Blanket, Protection	AC4 The Book of Marvelous Magic	18		
Blanket, Sleeping	AC4 The Book of Marvelous Magic	18		
Boat, Desert	AC4 The Book of Marvelous Magic	18		
Boat, Frog	AC4 The Book of Marvelous Magic	18		
Boat, House	AC4 The Book of Marvelous Magic	18		
Boat, Ice	AC4 The Book of Marvelous Magic	18		
Boat, Smuggler's	AC4 The Book of Marvelous Magic	18		
Boat, Undersea	Rules Cyclopedia	239		Dark Dungeons Deluxe
Bolas, Sunlight	Dragon #155	55		
Bone, Animation	AC4 The Book of Marvelous Magic	18		
Bone, Bruising	AC4 The Book of Marvelous Magic	19		
Bone, Clapper	AC4 The Book of Marvelous Magic	19		
Bone, Slaying	AC4 The Book of Marvelous Magic	19		
Bone, Turning	AC4 The Book of Marvelous Magic	19		
Boots, Attraction	AC4 The Book of Marvelous Magic	19		
Boots, Carrying	AC4 The Book of Marvelous Magic	19		
Boots, Cloudwalking	AC4 The Book of Marvelous Magic	19		
Boots, Elven	Rules Cyclopedia	239	SRD (Boots of Elvenkind)	Dark Dungeons Deluxe
Boots, Featherweight	AC4 The Book of Marvelous Magic	19		
Boots, Levitation	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Boots, Pinching	AC4 The Book of Marvelous Magic	19		
Boots, Speed	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Boots, Stomping	AC4 The Book of Marvelous Magic	19		
Boots, Tracks	AC4 The Book of Marvelous Magic	19		
Boots, Traveling and Leaping	Rules Cyclopedia	239	SRD (Boots of Striding and Springing)	Dark Dungeons Deluxe (Boots of Leaping)
Bottle, Boos	Polyhedron #23	22		
Bottle, Containment	AC4 The Book of Marvelous Magic	19		
Bottle, Efreeti	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Bottle, Evaporation	AC4 The Book of Marvelous Magic	19		
Bottle, Fireflies	AC4 The Book of Marvelous Magic	19		
Bow, Elven	GAZ5 The Elves of Alfheim	34		
Bowl, Commanding Water Elementals	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe (Bowl of Water Elementals)
Bracelet, Hypnos	GM2 Find the Lady	43		
Bracers, Defense	HWR2 Kingdom of Nithia: DM's Tome	34		
Brandy, Anterian	B3 Palace of the Silver Princess (1st Printing)	29		
Brass Horsemen	GAZ2 The Emirates of Ylaruam	59		
Brazier, Commanding Fire Elementals	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe (Brazier of Fire Elementals)
Bridle, Control	AC4 The Book of Marvelous Magic	20		
Bridle, Ginzani's	PC2 Top Ballista - DM's Booklet	40		
Bridle, Golden	GAZ2 The Emirates of Ylaruam	59		
Bridle, Listening	AC4 The Book of Marvelous Magic	20		
Bridle, Soaring	AC4 The Book of Marvelous Magic	20		
Bridle, Speaking	AC4 The Book of Marvelous Magic	20		
Bridle, Taming	AC4 The Book of Marvelous Magic	20		
Bridle, Wings	AC4 The Book of Marvelous Magic	20		
Brooch, Bones	AC4 The Book of Marvelous Magic	20		
Brooch, Lunar	AC4 The Book of Marvelous Magic	20		
Broom, Blindness	AC4 The Book of Marvelous Magic	20		
Broom, Flying	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Broom, Server	AC4 The Book of Marvelous Magic	20		
Broth, Zombie	HWR3 The Milenian Empire: Campaign Book	33		
Buckle, Armor	AC4 The Book of Marvelous Magic	21		
Buckle, Faulty Lockpicks	AC4 The Book of Marvelous Magic	21		
Buckle, Lockpicks	AC4 The Book of Marvelous Magic	21		
Buckle, Opening	AC4 The Book of Marvelous Magic	21		
Buckle, Protection	AC4 The Book of Marvelous Magic	21		
Buckle, Weaponry	AC4 The Book of Marvelous Magic	21		
Bugle, Reviving	AC4 The Book of Marvelous Magic	21		
Bugle, Sleeping	AC4 The Book of Marvelous Magic	21		
Bugle, Waking	AC4 The Book of Marvelous Magic	21		
Button, Blasting	AC4 The Book of Marvelous Magic	21		
Button, Confusion	AC4 The Book of Marvelous Magic	21		
Button, Fastening	AC4 The Book of Marvelous Magic	21		
Cabinet, Ministering	AC4 The Book of Marvelous Magic	22		
Cabinet, Security	AC4 The Book of Marvelous Magic	22		
Cage, Batting	AC4 The Book of Marvelous Magic	22		
Cage, Carrying	AC4 The Book of Marvelous Magic	22		
Cage, Entrapment	AC4 The Book of Marvelous Magic	22		
Caldron, Heatin	AC4 The Book of Marvelous Magic	22		
Cameo, Appearance	AC4 The Book of Marvelous Magic	22		
Cameo, Incompetence	AC4 The Book of Marvelous Magic	22		
Can of Spinach	Polyhedron #23	22		
Can, Cant	AC4 The Book of Marvelous Magic	23		
Can, Moonlight	AC4 The Book of Marvelous Magic	23		
Can, Worms	AC4 The Book of Marvelous Magic	23		
Candle, Powerlessness	AC4 The Book of Marvelous Magic	23		
Candle, Protection	AC4 The Book of Marvelous Magic	23		
Cane, Age	AC4 The Book of Marvelous Magic	23		
Cane, Armament	AC4 The Book of Marvelous Magic	23		
Cane, Blindless	AC4 The Book of Marvelous Magic	23		
Cane, Detection	AC4 The Book of Marvelous Magic	23		
Cane, Stiffness	AC4 The Book of Marvelous Magic	23		
Canister, Curses	Polyhedron #23	22		
Canoe, Portage	AC4 The Book of Marvelous Magic	23		
Canoe, Travel	AC4 The Book of Marvelous Magic	23		
Cap, Shadow	AC4 The Book of Marvelous Magic	24		
Cap, Teleportation	PC1 Tall Tales of the Wee Folk - DM's Booklet	60		
Cape, Disguise	AC4 The Book of Marvelous Magic	23		
Cape, Good Hope	AC4 The Book of Marvelous Magic	24		
Cape, Horns	AC4 The Book of Marvelous Magic	24		
Cape, Protection	AC4 The Book of Marvelous Magic	24		
Cape, Reeking	AC4 The Book of Marvelous Magic	24		
Carpet, Flying	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Cart, Decks	AC4 The Book of Marvelous Magic	24		
Carving, Restful Sleep	Assault on Ravens Ruin	16		
Cat, Convenience	AC4 The Book of Marvelous Magic	24		
Celestial Planisphere	GAZ2 The Emirates of Ylaruam	61		
Censer, Conduct	Polyhedron #23	22		
Censer, Controlling Air Elementals	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe (Censer of Air Elementals)
Chalice, Colors	AC4 The Book of Marvelous Magic	24		
Chalice, Detection	AC4 The Book of Marvelous Magic	24		
Chalice, Identification	AC4 The Book of Marvelous Magic	24		
Chalice, Poison	AC4 The Book of Marvelous Magic	24		
Chariot, Hover	HWR2 Kingdom of Nithia: DM's Tome	35		
Chariot, Vix	HWQ1 The Milenian Scepter	50		
Charms, Resource	HWR2 Kingdom of Nithia: DM's Tome	34		
Cheese, Odors	Polyhedron #23	22		
Cheese, Vile Odors	Polyhedron #23	23		
Chest, Drawers	AC4 The Book of Marvelous Magic	25		
Chest, Sieges	AC4 The Book of Marvelous Magic	25		
Chime, Time	Rules Cyclopedia	239		Dark Dungeons Deluxe
Chime, Visitors	AC4 The Book of Marvelous Magic	25		
City-Breaker	HWR2 Kingdom of Nithia: DM's Tome	35		
Claws, Climbing	Rage of the Rakasta	12		
Claws, Raking	AC4 The Book of Marvelous Magic	25		
Cleats, Gripping	AC4 The Book of Marvelous Magic	25		
Cloak, Blackflame	GAZ8 The Five Shires: Dungeon Masters Booklet	19		
Cloak, Displacer	Rules Cyclopedia	239		Dark Dungeons Deluxe
Cloak, Elven	Rules Cyclopedia	239		Dark Dungeons Deluxe
Cloak, Meister	PC2 Top Ballista: Adventures Booklet	15		
Cloak, White Charming	Polyhedron #21	7		
Collar, Charisma	AC4 The Book of Marvelous Magic	25		
Collar, Disguise	AC4 The Book of Marvelous Magic	25		
Collar, Stiffness	AC4 The Book of Marvelous Magic	25		
Collar, Strangling	AC4 The Book of Marvelous Magic	25		
Cot, Entrapment	AC4 The Book of Marvelous Magic	25		
Cot, Restlessness	AC4 The Book of Marvelous Magic	26		
Cot, Suspension	AC4 The Book of Marvelous Magic	26		
Crown, Leadership	AC4 The Book of Marvelous Magic	26		
Crown, Rulership	AC4 The Book of Marvelous Magic	26		
Crown, Sorona	X13 Crown of Ancient Glory	61		
Crystal, Death Scrying	CM8 The Endless Stair	27		
Crystals, Abelaat's	DMR1 Escape From Thunder Rift	31		
Cube, Abilities	AC4 The Book of Marvelous Magic	26		
Cube, Bullion	AC4 The Book of Marvelous Magic	26		
Cube, Cubic Foot	AC4 The Book of Marvelous Magic	27		
Cube, Cubic Yard	AC4 The Book of Marvelous Magic	27		
Cube, Disabilities	AC4 The Book of Marvelous Magic	26		
CUbe, Ice	AC4 The Book of Marvelous Magic	27		
Cube, Luck	AC4 The Book of Marvelous Magic	27		
Cube, Sweetness	AC4 The Book of Marvelous Magic	27		
Curtains, Death	AC4 The Book of Marvelous Magic	27		
Curtains, Scenery	AC4 The Book of Marvelous Magic	27		
Curtains, Spying	AC4 The Book of Marvelous Magic	27		
Cymbal, Crash	AC4 The Book of Marvelous Magic	27		
Cymbal, Symbols	AC4 The Book of Marvelous Magic	27		
Dagger, Blackflame	GAZ8 The Five Shires: Dungeon Masters Booklet	20		
Dart, Death	CM8 The Endless Stair	27		
Daw, Cutting	AC4 The Book of Marvelous Magic	60		
Decanter, Endless Water	HWA2 Nightrage	63		
Deck, Chance	AC4 The Book of Marvelous Magic	28		
Deck, Daffy	AC4 The Book of Marvelous Magic	28		
Deck, Decking	AC4 The Book of Marvelous Magic	28		
Deck, Quarter	AC4 The Book of Marvelous Magic	28		
Deck, Sun	AC4 The Book of Marvelous Magic	28		
Deck, Tracer	AC4 The Book of Marvelous Magic	28		
Deck, Wondrous Power	AC4 The Book of Marvelous Magic	28		
Desk, Restudying	AC4 The Book of Marvelous Magic	29		
Desk, Studying	AC4 The Book of Marvelous Magic	29		
Diadem, Disenchantment	CM8 The Endless Stair	27		
Dimensional Pool	DMR1 Escape From Thunder Rift	31		
Distillate, Wolfsbane	PC4 Night Howlers - DM's Guide	63		
Door, Black	AC4 The Book of Marvelous Magic	29		
Door, Disappearance	AC4 The Book of Marvelous Magic	29		
Door, Displacement	AC4 The Book of Marvelous Magic	29		
Door, Front	AC4 The Book of Marvelous Magic	30		
Door, Guarding	AC4 The Book of Marvelous Magic	30		
Door, Revolving	AC4 The Book of Marvelous Magic	30		
Door, Teleportation	AC4 The Book of Marvelous Magic	29		
Door, Terror	AC4 The Book of Marvelous Magic	30		
Drum, Bass	Polyhedron #23	23		
Drum, Silence	AC4 The Book of Marvelous Magic	30		
Drum, Snare	Polyhedron #23	23		
Drums, Native	AC4 The Book of Marvelous Magic	30		
Drums, Panic	Rules Cyclopedia	239	SRD	Dark Dungeons Deluxe
Dust, Absorption	AC4 The Book of Marvelous Magic	31		
Dust, Adhering	AC4 The Book of Marvelous Magic	31		
